bin_id,node_id,in_degree,out_degree,constraint,effective_size,homophily_ratio,temporal_betweenness,next_betweenness,next_constraint,target_a,target_b
0,1,0,20,0.271278873178598,-2.0,0.6089063878970638,0.4338439849254927,0.4907814745527564,0.4712468176713227,0,0
130,1,9,1,0.4712468176713227,8.9,0.7057734225247094,0.4907814745527564,0.372176965389155,0.298351826767569,1,0
131,1,7,8,0.298351826767569,6.2,0.6622959989226962,0.372176965389155,0.2047186747428677,0.4121749868849362,1,0
132,1,13,13,0.4121749868849362,11.7,0.7333126816890252,0.2047186747428677,0.2396481937552957,0.4901598746101194,0,0
133,1,4,14,0.4901598746101194,2.6,0.5892396075532139,0.2396481937552957,0.2009780871520428,0.9600961930563124,0,1
134,1,9,1,0.9600961930563124,8.9,0.6488839681961756,0.2009780871520428,0.2893758920261283,0.6267007943568501,0,0
135,1,8,18,0.6267007943568501,6.2,0.8166041570220981,0.2893758920261283,0.3254063901015309,0.1837579657084278,0,0
136,1,18,14,0.1837579657084278,16.6,0.7742758076067843,0.3254063901015309,0.0986975207064975,0.2347927352271152,1,0
137,1,4,9,0.2347927352271152,3.1,0.6319973471187081,0.0986975207064975,0.1907477852270873,0.0348340837959829,0,0
138,1,14,21,0.0348340837959829,11.9,0.7936532947157227,0.1907477852270873,0.1368224280490149,0.2706664390651755,0,1
139,1,12,2,0.2706664390651755,11.8,0.5499948309282392,0.1368224280490149,0.3878555690811872,0.5801613620257533,0,1
140,1,17,26,0.5801613620257533,14.4,0.9564181944438234,0.3878555690811872,0.0782820878352755,0.8093210391139026,1,1
141,1,23,18,0.8093210391139026,21.2,0.5991522129011515,0.0782820878352755,0.2689502717549653,0.0432915624818548,0,0
142,1,19,17,0.0432915624818548,17.3,0.9860648791726024,0.2689502717549653,0.0512194475170834,0.1988733497286257,1,0
143,1,33,12,0.1988733497286257,31.8,0.8348481522555861,0.0512194475170834,0.1672625221915106,0.4747486249213634,0,1
144,1,16,4,0.4747486249213634,15.6,0.9463759352908264,0.1672625221915106,0.2295296253500397,0.2940338321794896,0,0
145,1,39,11,0.2940338321794896,37.9,0.5512685184519033,0.2295296253500397,0.2385684362695745,0.7468199057506886,0,1
146,1,35,11,0.7468199057506886,33.9,0.7010464433995138,0.2385684362695745,0.073385541245323,0.3813798604215086,1,0
147,1,26,18,0.3813798604215086,24.2,0.802518321782983,0.073385541245323,0.0529779675171693,0.3225326383882404,0,0
148,1,25,13,0.3225326383882404,23.7,0.5898405024406824,0.0529779675171693,0.4416091260700695,0.9645886024822156,0,1
149,1,32,0,0.9645886024822156,32.0,0.6950879821393767,0.4416091260700695,0.3638523195728229,0.8119922536092753,0,0
150,1,17,12,0.8119922536092753,15.8,0.8806297772774051,0.3638523195728229,0.1570513583649911,0.1405089040105658,1,0
151,1,9,1,0.1405089040105658,8.9,0.8333364067522041,0.1570513583649911,0.424446867188988,0.0340040097186225,0,0
153,1,4,0,0.0340040097186225,4.0,0.6201895979442472,0.424446867188988,0.1086480685905124,0.5953348680708613,1,1
154,1,1,1,0.5953348680708613,0.9,0.7982507054734274,0.1086480685905124,0.1485734435773321,0.3627470518288516,0,0
155,1,1,0,0.3627470518288516,1.0,0.5544192321082926,0.1485734435773321,0.1279406224741289,0.5878985651738039,0,1
156,1,6,4,0.5878985651738039,5.6,0.6215586932826691,0.1279406224741289,0.0113823280252853,0.4034512977705329,1,0
157,1,7,3,0.4034512977705329,6.7,0.948734964361588,0.0113823280252853,0.0339265586368597,0.8643472292033298,0,1
