bin_id,node_id,in_degree,out_degree,constraint,effective_size,homophily_ratio,temporal_betweenness
0,489,3560,1364,0.39684535534993803,3423.6,0.6287867768574364,0.2679441437607067
0,886,5122,5120,0.8386807316162956,4610.0,0.6872875709276082,0.439145271101133
0,71,1,11120,0.20356524561972256,-1111.0,0.5400805263947102,0.07716456802172628
0,634,7681,5260,0.6130289150670349,7155.0,0.668711897543917,0.2992621802800116
0,574,1380,1720,0.9110328340839003,1208.0,0.7560318835479249,0.3209083156900553
0,1362,3600,120,0.6461040824266777,3588.0,0.7716529967135692,0.4472270053285512
0,164,800,1740,0.5460031791901346,626.0,0.5738464462928605,0.4816388484731892
0,779,5980,400,0.9357820646980398,5940.0,0.7030310917810427,0.31602950606837
0,447,6980,720,0.16123404032496347,6908.0,0.9876038121183104,0.317762715348419
0,763,3420,40,0.8122597800773065,3416.0,0.6102542173262696,0.036191419368257816
0,117,260,6520,0.3549621477131568,-392.0,0.7942743732897093,0.07675450476008738
0,429,4500,7320,0.7296897921066211,3768.0,0.8727823522229274,0.3252398800266403
0,215,4820,11140,0.09514413368799812,3706.0,0.8417367811419332,0.329442093912652
0,1414,6020,20,0.13166905635460302,6018.0,0.8796107001617018,0.19980111113148863
0,97,2660,14260,0.951926631811385,1234.0,0.6133097790865798,0.14577148679534124
0,1204,9100,360,0.2733949256051269,9064.0,0.8618254616613097,0.3089839404824344
0,461,2160,3580,0.002455013898949421,1802.0,0.897058270923482,0.09054445298670238
0,1245,13540,700,0.47780789163409254,13470.0,0.6824907482941045,0.11973948892719749
0,20,80,7820,0.5704835993073626,-702.0,0.8530220623972319,0.0017737209375721097
0,1209,11440,240,0.8688759435184001,11416.0,0.9924577129516083,0.054706116097257174
0,15,0,7300,0.5481001634030732,-730.0,0.9554758403660504,0.22806095446516056
0,985,6140,1420,0.14477070430282601,5998.0,0.7893812859078808,0.16104743950658224
0,200,1420,11780,0.4626941866799915,242.0,0.7468782329637386,0.43545073979803345
0,1323,5960,240,0.13562566018845756,5936.0,0.9215875680330387,0.026180506189713904
0,491,4840,820,0.7205303689821873,4758.0,0.6729507584909313,0.2410389593950215
0,649,11520,3100,0.5271551237368348,11210.0,0.745499854608654,0.400550067202128
0,425,880,1240,0.628362742805626,756.0,0.6700565181705451,0.09449456119335864
0,242,940,7480,0.3106359183024783,192.0,0.7413676242995791,0.12674712851774045
0,720,7280,2940,0.9589746507578889,6986.0,0.8497276185404503,0.4524640653865764
0,1090,9860,500,0.9334909996988667,9810.0,0.9472608344903176,0.4228014732006237
